ID,artist,song,duration_ms,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
132,Fragma,Everytime You Need Me - Radio Version,213346,FALSE,2001,50,0.682,0.917,-5.459,0.0318,0.15,0.0676,0.34,0.79,137.029,"pop, Dance/Electronic"
133,Mariah Carey,Loverboy,229173,FALSE,2001,42,0.721,0.79,-4.125,0.124,0.183,0,0.1,0.821,103.141,"pop, R&B"
134,Dido,Thank You,218360,FALSE,1999,73,0.725,0.583,-9.942,0.0427,0.3,0.000238,0.0665,0.762,79.984,pop
135,Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,FALSE,2000,57,0.767,0.759,-6.516,0.117,0.0513,0,0.31,0.677,89.989,"pop, R&B"
136,P.O.D.,Youth of the Nation,256240,FALSE,2001,69,0.563,0.86,-7.533,0.0621,0.00834,0.0106,0.39,0.517,97.867,"rock, metal"
137,Jennifer Lopez,Play,211493,TRUE,2001,57,0.775,0.729,-4.229,0.162,0.0303,0.00247,0.0361,0.895,104.719,"hip hop, pop, R&B"
138,Missy Elliott,Get Ur Freak On,211120,TRUE,2001,68,0.797,0.75,-9.369,0.247,0.533,0.108,0.095,0.74,177.87,"hip hop, pop, R&B"
139,Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,FALSE,2008,52,0.635,0.854,-5.02,0.0612,0.00579,0.0083,0.0623,0.59,100.851,"pop, latin"
140,Christina Milian,AM To PM,231213,FALSE,2001,60,0.872,0.868,-3.036,0.12,0.153,2.26e-05,0.843,0.822,105.005,"hip hop, pop, R&B"
141,Roger Sanchez,Another Chance,452906,FALSE,2000,50,0.61,0.82,-10.029,0.0312,0.000211,0.146,0.138,0.45,127.993,Dance/Electronic
142,Gorillaz,Clint Eastwood,340920,TRUE,2001,74,0.663,0.694,-8.627,0.171,0.0253,0,0.0698,0.525,167.953,hip hop
143,2Pac,Until The End Of Time,266506,TRUE,2001,57,0.757,0.706,-6.665,0.203,0.0267,0,0.197,0.375,96.976,hip hop
144,Tamia,Stranger in My House,285386,FALSE,2000,48,0.676,0.601,-4.905,0.0297,0.103,0,0.147,0.206,119.94,"pop, R&B"
145,Mary J. Blige,No More Drama,326240,FALSE,2001,61,0.653,0.837,-6.818,0.124,0.534,7.12e-05,0.0784,0.64,97.914,"pop, R&B"
146,Jennifer Lopez,Love Don't Cost a Thing,221226,FALSE,2001,67,0.786,0.842,-5.115,0.0707,0.00305,3.54e-06,0.473,0.685,97.577,"hip hop, pop, R&B"
147,Jamiroquai,Little L,295400,FALSE,2001,65,0.878,0.724,-5.373,0.129,0.168,0.0116,0.133,0.904,121.906,pop
148,Case,Missing You,284666,FALSE,2001,55,0.612,0.579,-6.417,0.0553,0.285,0,0.0556,0.716,86.31,"hip hop, pop, R&B"
149,112,Peaches & Cream,193093,FALSE,2001,63,0.677,0.52,-6.255,0.334,0.00277,0,0.0532,0.768,203.862,"hip hop, pop, R&B"
150,Five,Let's Dance - Radio Edit,218626,FALSE,2001,47,0.631,0.821,-7.853,0.0867,0.00876,0.000247,0.293,0.547,118.007,pop
151,Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,FALSE,2001,54,0.464,0.922,-8.399,0.0638,0.124,0.227,0.0546,0.695,129.078,Dance/Electronic
152,Alien Ant Farm,Smooth Criminal,209266,FALSE,2001,75,0.653,0.964,-4.261,0.0582,0.00316,0.00512,0.144,0.87,126.928,"rock, metal"
