ID,artist,song,duration_ms,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
487,Katie Melua,The Closest Thing to Crazy,252466,FALSE,2003,55,0.562,0.219,-13.2,0.0312,0.856,0.000296,0.0979,0.106,127.831,"pop, easy listening, jazz"
488,Usher,My Boo,223440,FALSE,2004,76,0.662,0.507,-8.238,0.118,0.257,0,0.0465,0.676,86.412,"hip hop, pop, R&B"
489,Lloyd,Southside,277840,FALSE,2004,59,0.688,0.404,-9.481,0.0818,0.377,0,0.0813,0.448,75.007,"hip hop, pop, R&B"
490,LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,171546,FALSE,2004,59,0.668,0.905,-5.395,0.038,0.00232,0.0331,0.141,0.667,128.658,Dance/Electronic
491,The Streets,Fit but You Know It,254266,TRUE,2004,58,0.68,0.844,-1.729,0.299,0.23,0,0.0305,0.895,172.302,"hip hop, Dance/Electronic"
492,JUVENILE,Slow Motion,248200,TRUE,2003,64,0.713,0.734,-4.894,0.325,0.548,0,0.0687,0.89,172.872,"hip hop, pop"
493,Outkast,The Way You Move (feat. Sleepy Brown),234000,TRUE,2003,66,0.871,0.597,-4.932,0.0464,0.126,0.000113,0.0638,0.635,125.999,"hip hop, pop"
494,Girls Aloud,Love Machine,205360,FALSE,2004,59,0.663,0.95,-4.21,0.0621,0.00127,0.00492,0.0753,0.697,116.02,"pop, Dance/Electronic"
495,Jessica Simpson,With You,191826,FALSE,2003,57,0.553,0.756,-4.583,0.108,0.0923,0,0.215,0.605,94.487,"pop, R&B"
496,Eminem,Like Toy Soldiers,296880,TRUE,2004,48,0.52,0.768,-3.489,0.359,0.0193,0.00034,0.104,0.398,79.178,hip hop
497,Gary Jules,Mad World (Feat. Michael Andrews),189506,FALSE,2001,65,0.345,0.0581,-17.217,0.0374,0.976,0.000366,0.103,0.304,174.117,pop
498,Ashlee Simpson,Pieces Of Me,217440,FALSE,2004,56,0.505,0.799,-4.286,0.0773,0.0572,0,0.11,0.772,174.001,pop
499,Will Young,Leave Right Now,214733,FALSE,2003,55,0.641,0.445,-8.674,0.0368,0.145,0,0.108,0.383,81.931,pop
500,Alicia Keys,You Don't Know My Name,366733,FALSE,2003,61,0.264,0.663,-8.264,0.187,0.59,0.00443,0.342,0.249,167.078,"pop, R&B"
501,Mariah Carey,We Belong Together,201400,FALSE,2005,69,0.84,0.476,-7.918,0.0629,0.0264,0,0.0865,0.767,139.987,"pop, R&B"
502,Mario,Let Me Love You,256733,FALSE,2004,72,0.656,0.578,-8.97,0.0922,0.235,0,0.118,0.556,94.514,"pop, R&B"
503,Kanye West,Gold Digger,207626,TRUE,2005,78,0.629,0.696,-5.572,0.348,0.0195,0,0.0554,0.623,93.034,hip hop
504,Rihanna,Pon de Replay,246960,FALSE,2005,77,0.779,0.64,-8.415,0.159,0.000155,0.00077,0.101,0.498,99.019,"hip hop, pop, R&B"
505,50 Cent,Candy Shop,209106,TRUE,2005,79,0.614,0.574,-7.961,0.466,0.0253,3.2e-05,0.38,0.755,125.173,"hip hop, pop"
506,James Blunt,You're Beautiful,209493,TRUE,2005,75,0.675,0.479,-9.87,0.0278,0.633,1.76e-05,0.088,0.454,81.998,pop
507,Green Day,Boulevard of Broken Dreams,261266,TRUE,2004,72,0.49,0.679,-3.68,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046,rock
508,The Pussycat Dolls,Don't Cha,272080,FALSE,2005,72,0.875,0.631,-3.475,0.099,0.00542,2.54e-06,0.127,0.549,120.003,"pop, R&B"
509,Daniel Powter,Bad Day,233640,FALSE,2005,74,0.599,0.785,-4.013,0.0309,0.448,0.00336,0.151,0.52,140.046,pop
510,Akon,Bananza (Belly Dancer),238493,FALSE,2004,28,0.878,0.699,-5.897,0.132,0.0345,3.37e-06,0.755,0.666,104.838,pop
511,Madonna,Hung Up,337733,FALSE,2005,74,0.649,0.647,-7.695,0.0452,0.0039,0.161,0.0686,0.405,125.02,pop
512,50 Cent,Just A Lil Bit,237706,TRUE,2005,76,0.489,0.692,-6.672,0.41,0.0322,0.00608,0.315,0.527,96.946,"hip hop, pop"
513,Crazy Frog,Axel F,168879,FALSE,2005,67,0.86,0.907,-3.321,0.0407,0.279,0.693,0.0648,0.786,138.045,pop
514,Eminem,Ass Like That,265480,TRUE,2004,52,0.646,0.796,-6.152,0.366,0.409,0,0.107,0.676,83.093,hip hop
515,Sean Paul,We Be Burnin',213066,FALSE,2005,59,0.95,0.803,-4.195,0.151,0.145,0,0.0748,0.86,117,"hip hop, pop"
516,Gwen Stefani,Rich Girl,236213,FALSE,2004,68,0.856,0.754,-2.728,0.0416,0.0294,1.49e-05,0.206,0.722,98.018,"pop, R&B"
517,The Chemical Brothers,Galvanize,393813,FALSE,2005,63,0.745,0.714,-3.681,0.0751,0.0141,0.0222,0.363,0.365,104.003,Dance/Electronic
518,Fort Minor,Remember the Name (feat. Styles of Beyond),230493,TRUE,2005,73,0.688,0.835,-4.162,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,"hip hop, pop, rock"
519,50 Cent,Disco Inferno,214226,TRUE,2005,72,0.925,0.659,-4.763,0.231,0.206,7.88e-05,0.279,0.71,97.018,"hip hop, pop"
520,The Game,How We Do,235533,TRUE,2005,74,0.862,0.648,-7.401,0.251,0.0455,0,0.0332,0.637,98.012,"hip hop, pop"
521,Chris Brown,Run It! (feat. Juelz Santana),229866,FALSE,2005,71,0.846,0.482,-6.721,0.129,0.0246,0,0.393,0.212,100.969,"hip hop, pop, R&B"
522,Mariah Carey,It's Like That,203360,FALSE,2005,0,0.8,0.633,-4.875,0.0514,0.0901,0,0.0315,0.836,95.953,"pop, R&B"
523,Black Eyed Peas,My Humps,326960,FALSE,2005,67,0.802,0.682,-5.924,0.222,0.111,1.39e-05,0.109,0.586,123.95,"hip hop, pop"
524,Ciara,Oh (feat. Ludacris),256346,FALSE,2004,61,0.8,0.496,-7.135,0.0506,0.000298,0,0.0697,0.357,128.29,"pop, R&B"
525,50 Cent,Outta Control - Remix,247506,TRUE,2005,60,0.772,0.599,-5.996,0.246,0.0277,0,0.0839,0.557,92.029,"hip hop, pop"
526,Baby Bash,"Baby, I'm Back",219920,TRUE,2005,4,0.899,0.365,-5.461,0.105,0.0508,0,0.097,0.749,100.01,"hip hop, pop, R&B, latin"
527,Jennifer Lopez,Get Right,225533,FALSE,2005,65,0.741,0.759,-5.096,0.12,0.0218,0,0.628,0.362,97.084,"hip hop, pop, R&B"
528,JAY-Z,Numb / Encore,205733,TRUE,2004,76,0.687,0.793,-4.254,0.166,0.0603,0,0.582,0.751,107.045,hip hop
529,The Game,Hate It Or Love It,206400,TRUE,2005,77,0.802,0.785,-4.781,0.207,0.14,0,0.123,0.435,99.998,"hip hop, pop"
530,Gorillaz,Feel Good Inc.,222640,FALSE,2005,82,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,hip hop
531,Black Eyed Peas,Don't Phunk With My Heart,239773,FALSE,2005,62,0.69,0.928,-2.76,0.061,0.00937,0,0.547,0.604,130.889,"hip hop, pop"
532,Akon,Lonely,235800,TRUE,2004,21,0.629,0.532,-7.88,0.0352,0.331,0,0.238,0.619,90.098,pop
533,Bodyrockers,I Like The Way - Radio Edit,200053,FALSE,2005,54,0.642,0.851,-3.638,0.0431,0.0248,0.0146,0.084,0.777,127.988,"rock, Dance/Electronic"
534,Sugababes,Push The Button,218093,FALSE,2005,64,0.962,0.66,-5.096,0.061,0.0485,0,0.076,0.814,126.016,"pop, R&B"
535,Jeezy,Soul Survivor,280013,TRUE,2005,55,0.684,0.493,-7.728,0.0459,0.000839,0,0.157,0.08,84.03,"hip hop, pop"
536,Eminem,Mockingbird,250760,TRUE,2004,77,0.637,0.678,-3.798,0.266,0.209,0,0.156,0.254,84.039,hip hop
537,Shakira,La Tortura (feat. Alejandro Sanz),212893,FALSE,2005,72,0.74,0.783,-5.367,0.0427,0.0297,0.000308,0.123,0.812,100.011,"pop, latin"
538,Gorillaz,DARE,244999,FALSE,2005,73,0.76,0.891,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,hip hop
539,Snoop Dogg,Signs,236813,TRUE,2004,54,0.94,0.713,-5.308,0.127,0.0319,0.00076,0.325,0.666,112.955,"hip hop, pop"
540,Robbie Williams,Tripping,276603,FALSE,2005,58,0.666,0.922,-4.458,0.0429,0.0381,0.000191,0.0633,0.828,118.014,"pop, rock"
541,David Banner,Play,230133,TRUE,2005,52,0.837,0.658,-8.013,0.126,0.000213,0.122,0.243,0.586,95.027,"hip hop, pop"
542,Trillville,Some Cut,283454,TRUE,2004,50,0.9,0.515,-6.626,0.372,0.00341,0,0.111,0.659,84.995,"hip hop, pop"
543,D4L,Laffy Taffy,224253,TRUE,2005,63,0.891,0.439,-7.994,0.428,0.0351,0,0.0932,0.622,77.499,"hip hop, pop"
544,Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),226863,TRUE,2005,67,0.904,0.813,-7.105,0.121,0.0311,0.00697,0.0471,0.81,125.461,"hip hop, pop, R&B"
545,Rob Thomas,Lonely No More,226640,FALSE,2005,56,0.551,0.896,-3.152,0.109,0.033,0,0.0899,0.858,171.79,"pop, Folk/Acoustic"
546,Brian McFadden,Almost Here,229826,FALSE,2004,42,0.561,0.452,-7.324,0.0336,0.409,0,0.106,0.316,77.984,set()
547,Bobby V.,"Slow Down - 12"" Version",258666,FALSE,2005,65,0.568,0.732,-4.896,0.103,0.179,4.92e-06,0.401,0.626,186.048,"hip hop, pop, R&B"
548,Backstreet Boys,Incomplete,239586,FALSE,2005,63,0.437,0.589,-4.834,0.0331,0.231,0,0.0768,0.165,133.631,pop
549,Pretty Ricky,Grind With Me,237733,TRUE,2005,63,0.7,0.538,-5.952,0.045,0.000204,0,0.105,0.189,136.518,"hip hop, pop, R&B"
550,Kanye West,Diamonds From Sierra Leone - Remix,233400,TRUE,2005,61,0.672,0.814,-3.768,0.27,0.258,0,0.164,0.379,97.043,hip hop
551,Snoop Dogg,Drop It Like It's Hot,266066,TRUE,2004,39,0.892,0.628,-3.832,0.216,0.169,0,0.102,0.676,92.063,"hip hop, pop"
552,Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,211320,FALSE,2005,41,0.905,0.55,-7.558,0.372,0.0628,0,0.0644,0.52,100.813,"hip hop, pop"
553,Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),325573,FALSE,2004,63,0.878,0.417,-6.799,0.361,0.0444,0,0.0833,0.904,77.49,"pop, R&B"
554,Ciara,"1, 2 Step (feat. Missy Elliott) - Main",202213,FALSE,2005,52,0.939,0.498,-10.94,0.161,0.0444,0.00128,0.0475,0.801,113.053,"pop, R&B"
555,Amerie,1 Thing,238746,FALSE,2008,52,0.636,0.946,-4.683,0.332,0.115,3.75e-05,0.0416,0.891,125.085,"hip hop, pop, R&B"
556,Ludacris,Get Back,270746,TRUE,2004,59,0.555,0.639,-5.16,0.263,0.0594,0,0.118,0.184,171.609,"hip hop, pop"
557,Franz Ferdinand,Do You Want To,215000,FALSE,2005,61,0.412,0.944,-2.896,0.0448,0.0724,0.000493,0.801,0.79,123.091,rock
558,Natalie Imbruglia,Shiver,222653,FALSE,2005,52,0.489,0.798,-4.49,0.0316,0.00115,2.81e-06,0.149,0.309,94.163,"pop, Folk/Acoustic"
559,Gwen Stefani,Hollaback Girl,199853,TRUE,2004,69,0.926,0.916,-2.221,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,"pop, R&B"
560,Pretty Ricky,Your Body,240040,TRUE,2005,59,0.838,0.594,-5.695,0.113,0.176,0,0.0867,0.507,90.038,"hip hop, pop, R&B"
561,Thirty Seconds To Mars,The Kill,231533,FALSE,2005,74,0.179,0.912,-3.881,0.0791,0.0014,0.000294,0.582,0.289,182.99,rock
562,Alicia Keys,Karma,256000,FALSE,2003,50,0.727,0.736,-6.203,0.0615,0.0743,0.00311,0.0348,0.687,85.098,"pop, R&B"
563,2Pac,Ghetto Gospel,238053,TRUE,2004,68,0.794,0.614,-5.352,0.0467,0.0964,0,0.0788,0.663,80.569,hip hop
564,Craig David,Don't Love You No More (I'm Sorry),243986,FALSE,2005,56,0.636,0.558,-7.076,0.0245,0.462,0,0.062,0.572,100.113,"hip hop, pop, R&B"
565,Katie Melua,Nine Million Bicycles,197160,FALSE,2005,60,0.534,0.247,-15.636,0.0322,0.516,0.00859,0.122,0.344,82.168,"pop, easy listening, jazz"
566,Lil Jon & The East Side Boyz,Lovers And Friends,260600,TRUE,2004,66,0.675,0.501,-6.183,0.22,0.0541,0,0.429,0.532,139.861,"hip hop, pop"
567,Mariah Carey,Don't Forget About Us - Radio Edit,233866,FALSE,2005,0,0.7,0.529,-6.816,0.0395,0.0422,0,0.101,0.386,143.555,"pop, R&B"
568,Ying Yang Twins,Wait (The Whisper Song),179160,TRUE,2005,57,0.933,0.513,-13.203,0.347,0.00112,0.00248,0.107,0.595,102.017,"hip hop, pop"
569,Will Smith,Switch,197666,FALSE,2020,34,0.873,0.9,-4.325,0.18,0.0107,0.000502,0.556,0.478,102.516,"hip hop, pop"
570,Bow Wow,Like You (feat. Ciara),205840,FALSE,2005,66,0.714,0.6,-8.365,0.0876,0.0465,0,0.0646,0.504,82.017,"hip hop, pop, R&B"
571,Kaiser Chiefs,Everyday I Love You Less And Less,217706,FALSE,2005,58,0.49,0.956,-4.556,0.0407,0.00466,6.15e-06,0.242,0.577,160.028,rock
572,Kelly Clarkson,Behind These Hazel Eyes,198973,FALSE,2004,59,0.548,0.889,-4.682,0.0382,0.00165,0.00109,0.197,0.425,90.048,"pop, R&B"
573,Black Eyed Peas,Don't Lie,219000,FALSE,2005,61,0.662,0.785,-5.299,0.186,0.16,0,0.0784,0.604,89.885,"hip hop, pop"
574,Westlife,You Raise Me Up,241066,FALSE,2005,1,0.129,0.358,-6.596,0.0314,0.631,0,0.0886,0.172,75.048,pop
575,Ray J,One Wish,337640,FALSE,2005,62,0.525,0.652,-7.042,0.28,0.278,0,0.339,0.602,127.673,"hip hop, pop, R&B"
576,Papa Roach,Scars,208199,FALSE,2004,60,0.455,0.929,-3.295,0.0494,0.0875,0,0.226,0.484,89.782,"rock, metal"
577,Arctic Monkeys,I Bet You Look Good On The Dancefloor,173680,FALSE,2006,71,0.535,0.948,-4.19,0.0356,0.00225,0,0.376,0.778,103.183,rock
578,Shayne Ward,That's My Goal,219600,FALSE,2006,1,0.286,0.508,-5.966,0.0336,0.372,0,0.27,0.14,68.637,pop
579,Bow Wow,Let Me Hold You (feat. Omarion),248493,FALSE,2005,62,0.815,0.662,-8.244,0.199,0.0915,0.000409,0.0898,0.611,151.518,"hip hop, pop, R&B"
580,Kaiser Chiefs,I Predict A Riot,233186,FALSE,2005,63,0.395,0.979,-3.241,0.0766,0.0243,0,0.12,0.41,158.842,rock
581,Usher,Caught Up,224640,FALSE,2004,61,0.817,0.806,-4.606,0.0623,0.027,9e-06,0.119,0.805,110.086,"hip hop, pop, R&B"
582,Kelly Clarkson,Because of You,219493,FALSE,2004,71,0.587,0.583,-5.284,0.0313,0.248,0,0.124,0.15,139.92,"pop, R&B"
583,3 Doors Down,Let Me Go,243053,FALSE,2012,52,0.478,0.863,-4.914,0.0387,0.0181,0,0.111,0.491,92.004,"pop, rock, metal"
584,Nickelback,Photograph,258920,FALSE,2005,67,0.515,0.876,-3.756,0.0292,0.000932,0.000166,0.136,0.385,145.916,"rock, metal"
585,T-Pain,I'm Sprung,231040,FALSE,2005,0,0.722,0.329,-11.617,0.108,0.088,0,0.081,0.166,99.991,"hip hop, pop, R&B"
586,Destiny's Child,Cater 2 U,245400,FALSE,2004,58,0.605,0.584,-7.043,0.197,0.286,0,0.235,0.464,125.802,"pop, R&B"
587,The Pussycat Dolls,Stickwitu,207506,FALSE,2005,67,0.548,0.554,-6.408,0.0587,0.283,0,0.0708,0.382,79.918,"pop, R&B"
588,Ryan Cabrera,TRUE,204173,FALSE,2004,62,0.598,0.4,-10.054,0.0241,0.459,0,0.151,0.369,96.938,pop
589,Stereophonics,Dakota,297426,FALSE,2005,69,0.506,0.93,-3.499,0.0675,0.129,0.00682,0.0931,0.305,146.994,"rock, pop"
590,Eminem,Like Toy Soldiers,296880,TRUE,2004,67,0.52,0.768,-3.489,0.359,0.0193,0.00034,0.104,0.398,79.178,hip hop
591,Nelly,Over And Over,253933,TRUE,2004,61,0.644,0.517,-10.02,0.0803,0.0065,1.37e-06,0.158,0.464,169.799,"hip hop, pop, R&B"
592,Coldplay,Speed of Sound,287906,FALSE,2005,69,0.514,0.898,-6.765,0.0577,0.00488,0.0345,0.0746,0.353,123.067,"rock, pop"
593,KT Tunstall,Suddenly I See,201706,FALSE,2005,71,0.587,0.767,-5.713,0.0449,0.225,0,0.112,0.664,100.38,"World/Traditional, pop, Folk/Acoustic"
594,Destiny's Child,Girl,224146,FALSE,2004,55,0.567,0.747,-6.019,0.105,0.31,0,0.04,0.556,89.036,"pop, R&B"
595,Kelly Clarkson,Since U Been Gone,188960,FALSE,2004,71,0.662,0.739,-5.354,0.0322,0.00206,0.0603,0.113,0.382,130.999,"pop, R&B"
596,U2,Sometimes You Can't Make It On Your Own,305080,FALSE,2004,56,0.53,0.597,-5.652,0.0247,0.00275,0.473,0.105,0.346,96,"World/Traditional, rock"
597,The All-American Rejects,Dirty Little Secret,193653,FALSE,2005,65,0.469,0.955,-4.253,0.0432,0.000343,1.35e-06,0.548,0.462,143.853,"rock, pop"
598,Toby Keith,As Good As I Once Was,227840,FALSE,2005,67,0.68,0.87,-4.461,0.0393,0.266,0,0.109,0.646,119.075,country
599,Gwen Stefani,Cool,189333,FALSE,2004,59,0.709,0.721,-3.52,0.0281,0.0322,0.000309,0.355,0.801,112.019,"pop, R&B"
600,Foo Fighters,Best of You,255626,FALSE,2005,76,0.366,0.94,-5.119,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,"rock, metal"
601,Shakira,Hips Don't Lie (feat. Wyclef Jean),218093,FALSE,2005,82,0.778,0.824,-5.892,0.0707,0.284,0,0.405,0.758,100.024,"pop, latin"
602,Sean Paul,Temperature,218573,FALSE,2005,78,0.951,0.6,-4.675,0.0685,0.106,0,0.0712,0.822,125.04,"hip hop, pop"
603,Justin Timberlake,SexyBack (feat. Timbaland),242733,TRUE,2006,78,0.967,0.583,-5.562,0.0789,0.0584,0,0.0519,0.964,117,pop
604,Beyoncé,Irreplaceable,227853,FALSE,2007,70,0.447,0.694,-4.637,0.382,0.0293,5.46e-06,0.167,0.509,175.868,"pop, R&B"
605,Amy Winehouse,Rehab,214946,FALSE,2006,71,0.407,0.558,-13.609,0.0552,0.0541,1.51e-06,0.34,0.777,71.815,R&B
606,Rihanna,SOS,238920,FALSE,2006,73,0.677,0.671,-4.905,0.0361,0.004,5.07e-05,0.413,0.527,137.046,"hip hop, pop, R&B"
607,Gnarls Barkley,Crazy,177466,FALSE,2006,74,0.855,0.587,-4.589,0.0336,0.0505,0.00714,0.105,0.64,111.97,"hip hop, R&B"
608,Busta Rhymes,Touch It,214960,TRUE,2006,61,0.658,0.551,-6.62,0.37,0.0043,0.000108,0.197,0.442,138.335,"hip hop, pop"
609,Nelly Furtado,Maneater,258893,FALSE,2006,79,0.796,0.777,-4.81,0.0397,0.0261,0.000358,0.121,0.787,132.722,"hip hop, pop, latin"
610,Bob Sinclar,Rock This Party - Everybody Dance Now,245466,FALSE,2006,69,0.893,0.823,-3.708,0.122,0.0714,0,0.0509,0.902,128.009,"pop, Dance/Electronic"
611,Diddy,Come to Me (feat. Nicole Scherzinger),276786,TRUE,2006,55,0.819,0.485,-6.45,0.0756,0.0176,0,0.658,0.386,96.998,"hip hop, pop"
612,Madonna,Sorry,281880,FALSE,2005,61,0.589,0.877,-6.229,0.046,0.00121,0.013,0.169,0.443,132.971,pop
613,Chamillionaire,Ridin',303053,TRUE,2005,71,0.787,0.799,-4.68,0.0993,0.189,0,0.3,0.835,143.052,"hip hop, pop"
614,Black Eyed Peas,Pump It,213066,FALSE,2005,75,0.648,0.931,-3.15,0.181,0.00937,0,0.752,0.744,153.649,"hip hop, pop"
615,Nelly Furtado,Promiscuous,242293,FALSE,2006,82,0.808,0.97,-6.098,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,"hip hop, pop, latin"
616,Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,150533,FALSE,2015,39,0.814,0.923,-4.525,0.229,0.0154,0.154,0.0862,0.518,127.919,"pop, Dance/Electronic"
617,Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,243880,FALSE,2006,58,0.711,0.761,-3.04,0.225,0.067,0,0.041,0.718,95.824,"hip hop, pop"
618,The Pussycat Dolls,Buttons,225560,FALSE,2005,68,0.565,0.817,-4.338,0.27,0.152,0,0.247,0.477,210.851,"pop, R&B"
619,Ciara,Get Up (feat. Chamillionaire),261880,FALSE,2006,59,0.964,0.595,-6.887,0.109,0.0248,5.14e-06,0.0405,0.629,128.593,"pop, R&B"
620,Eminem,Shake That,274440,TRUE,2005,74,0.963,0.643,-5.785,0.117,0.0507,4.94e-05,0.157,0.534,107.005,hip hop
621,Cherish,Do It To It,226293,FALSE,2006,65,0.826,0.67,-5.559,0.169,0.00798,0,0.495,0.794,74.007,"hip hop, pop, R&B"
622,Muse,Supermassive Black Hole,212439,FALSE,2006,75,0.668,0.921,-3.727,0.0439,0.0492,0.00517,0.0877,0.782,120,rock
623,Chris Brown,Gimme That,186826,FALSE,2005,63,0.678,0.572,-7.033,0.0466,0.00374,6.59e-05,0.118,0.444,87.165,"hip hop, pop, R&B"
624,Infernal,From Paris to Berlin,209666,FALSE,2004,57,0.741,0.869,-6.534,0.0816,0.096,0,0.0396,0.839,126.069,pop
625,Cassie,Me & U,192213,FALSE,2006,73,0.803,0.454,-4.802,0.0294,0.352,0,0.0655,0.739,99.99,"pop, R&B"
626,E-40,U and Dat (feat. T. Pain & Kandi Girl),202720,TRUE,2006,63,0.858,0.484,-7.448,0.277,0.0241,1.8e-06,0.123,0.329,99.992,"hip hop, pop"
627,The Pussycat Dolls,Beep,229360,FALSE,2005,57,0.938,0.735,-6.382,0.0434,0.00952,0,0.0998,0.55,103.7,"pop, R&B"
628,Lil Jon,Snap Yo Fingers,274386,FALSE,2006,67,0.835,0.757,-5.029,0.23,0.00647,0,0.29,0.626,82.038,"hip hop, pop"
629,Armand Van Helden,My My My - Radio Edit,190000,FALSE,2006,40,0.678,0.768,-8.502,0.137,0.0195,0.00866,0.0322,0.758,127.51,"pop, Dance/Electronic"
630,The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",286186,TRUE,2005,68,0.833,0.628,-7.041,0.141,0.0949,1.6e-06,0.282,0.645,106.328,hip hop
631,Yung Joc,It's Goin' Down (feat. Nitti),241840,TRUE,2006,66,0.888,0.577,-7.702,0.0612,0.0986,0,0.131,0.609,84.003,"hip hop, pop"
632,Shayne Ward,No Promises,223066,FALSE,2006,1,0.5,0.498,-6.087,0.026,0.527,0,0.123,0.182,79.798,pop
633,Justin Timberlake,My Love (feat. T.I.),276160,FALSE,2006,72,0.771,0.68,-5.881,0.224,0.277,1.18e-05,0.682,0.808,119.952,pop
634,Nickelback,Savin' Me,219320,FALSE,2005,65,0.441,0.815,-4.088,0.0276,0.000731,0,0.414,0.522,164.007,"rock, metal"
635,Nelly,Grillz,271160,FALSE,2005,60,0.867,0.504,-7.737,0.241,0.0358,0,0.307,0.84,82.996,"hip hop, pop, R&B"
636,Take That,Patience,202066,FALSE,2006,64,0.309,0.783,-4.154,0.0405,0.142,1.11e-06,0.118,0.372,175.788,pop
637,Fergie,London Bridge,241306,TRUE,2006,57,0.769,0.609,-5.894,0.357,0.216,0,0.166,0.633,90.951,"pop, R&B"
638,Cascada,Everytime We Touch - Radio Edit,199120,FALSE,2011,0,0.64,0.977,-5.369,0.0555,0.00461,1.68e-05,0.371,0.493,142.019,"hip hop, pop, Dance/Electronic"
639,D4L,Laffy Taffy,224253,TRUE,2005,63,0.891,0.439,-7.994,0.428,0.0351,0,0.0932,0.622,77.499,"hip hop, pop"
640,LL Cool J,Control Myself,233973,FALSE,2006,42,0.825,0.876,-6.556,0.211,0.00928,1.2e-05,0.205,0.48,120.066,"hip hop, pop, R&B"
641,Beyoncé,Deja Vu (feat. Jay-Z),240280,FALSE,2007,57,0.644,0.746,-4.941,0.341,0.0071,1.22e-05,0.0743,0.355,105.253,"pop, R&B"
642,P!nk,Stupid Girls,197173,TRUE,2006,0,0.683,0.886,-5.045,0.071,0.000738,0.00188,0.0524,0.566,100.04,pop
643,Eminem,When I'm Gone,281320,TRUE,2005,68,0.618,0.746,-5.476,0.352,0.0553,0,0.273,0.75,75.272,hip hop
644,Kelis,Bossy,273973,FALSE,2006,50,0.906,0.633,-5.316,0.19,0.000182,8.34e-06,0.058,0.779,84.021,"pop, R&B, Dance/Electronic"
645,Bob Sinclar,Love Generation - Radio Edit,207613,FALSE,2005,49,0.715,0.812,-5.758,0.062,0.175,0.000134,0.044,0.554,128.04,"pop, Dance/Electronic"
646,Meck,Thunder in My Heart Again (Radio Edit),189800,FALSE,2005,46,0.679,0.922,-4.67,0.0294,0.000241,0.69,0.0697,0.806,129.016,set()
647,Mary J. Blige,Be Without You - Kendu Mix,246333,TRUE,2005,69,0.726,0.7,-5.881,0.0998,0.0717,0,0.262,0.673,146.559,"pop, R&B"
648,Girls Aloud,Something Kinda Ooooh,201590,FALSE,2012,49,0.681,0.908,-3.918,0.0473,0.0232,0,0.355,0.879,131.925,"pop, Dance/Electronic"
649,Rihanna,Unfaithful,226973,FALSE,2006,70,0.588,0.391,-8.607,0.0334,0.839,0,0.227,0.349,144.069,"hip hop, pop, R&B"
650,Kanye West,Touch The Sky,236600,TRUE,2005,73,0.552,0.846,-4.912,0.342,0.0114,0,0.309,0.554,98.56,hip hop
651,Dem Franchize Boyz,"Lean Wit It, Rock Wit It",229813,TRUE,2006,60,0.886,0.62,-5.854,0.307,0.082,0,0.1,0.6,76.035,"hip hop, pop"
652,Evanescence,Call Me When You're Sober,214706,FALSE,2006,65,0.45,0.883,-4.094,0.0524,0.00193,0,0.293,0.328,93.41,metal
653,Chingy,Pullin' Me Back,234133,TRUE,2006,62,0.786,0.511,-6.66,0.286,0.0825,0,0.12,0.587,80,"hip hop, pop, R&B"
654,Nickelback,Far Away,238173,FALSE,2005,70,0.518,0.797,-5.153,0.0309,0.000681,0,0.107,0.293,132.918,"rock, metal"
655,Fall Out Boy,"Dance, Dance",180266,FALSE,2005,74,0.622,0.961,-3.198,0.154,0.00523,0,0.0854,0.449,114.452,rock
656,Leona Lewis,A Moment Like This,257293,FALSE,2007,57,0.261,0.562,-3.667,0.0301,0.423,7.54e-06,0.131,0.167,70.543,"pop, R&B"
657,T.I.,What You Know,274333,TRUE,2006,64,0.551,0.81,-4.365,0.0344,0.0155,0,0.169,0.332,73.464,"hip hop, pop"
658,Ludacris,Money Maker,230613,TRUE,2006,62,0.551,0.598,-6.79,0.27,0.15,0,0.299,0.612,78.756,"hip hop, pop"
659,Nick Lachey,What's Left Of Me,244613,FALSE,2006,37,0.42,0.742,-5.665,0.0375,0.142,0,0.145,0.294,149.965,pop
660,Jibbs,Chain Hang Low,207586,TRUE,2006,56,0.792,0.589,-6.869,0.262,0.0259,0.000128,0.114,0.778,157.147,"hip hop, pop"
661,Arctic Monkeys,When The Sun Goes Down,202133,TRUE,2006,72,0.348,0.875,-4.758,0.199,0.0341,0,0.117,0.407,169.152,rock
662,Rascal Flatts,Life is a Highway,276773,FALSE,2006,0,0.561,0.936,-5.409,0.0613,0.00185,0,0.102,0.594,103.055,country
